pair_id,overlap_ratio,noise_type,snr_db,track,cer_greedy,cer_energy_trim,cer_flatness_gate,cer_beam5,cer_halluc_silence,changed_energy_trim,changed_flatness_gate,changed_beam5,changed_halluc_silence
4,0.0,pink,10.0,spk2,1.0,1.0,1.0,0.727273,0.636364,0,0,1,1
4,0.0,pink,5.0,spk1,0.555556,0.555556,0.555556,0.333333,0.555556,0,0,1,0
4,0.0,pink,5.0,spk2,0.727273,0.727273,0.727273,0.727273,0.727273,0,0,0,0
4,0.0,pink,0.0,spk1,1.0,1.0,1.0,0.888889,1.0,0,0,1,0
4,0.0,pink,0.0,spk2,0.909091,0.909091,0.909091,0.909091,0.909091,0,0,1,0
4,0.0,babble,10.0,spk1,0.333333,0.333333,0.333333,0.555556,0.333333,0,0,1,0
4,0.0,babble,10.0,spk2,1.727273,1.727273,0.727273,0.545455,0.727273,0,1,1,1
4,0.0,babble,5.0,spk1,2.111111,2.111111,2.111111,1.666667,1.0,0,0,1,1
4,0.0,babble,5.0,spk2,1.727273,1.727273,2.181818,3.181818,0.818182,0,1,1,1
4,0.0,babble,0.0,spk1,2.222222,2.222222,1.0,1.111111,1.0,0,1,1,1
4,0.0,babble,0.0,spk2,13.727273,13.727273,2.181818,0.909091,1.0,0,1,1,1
4,0.1,clean,clean,spk1,0.555556,0.444444,0.444444,0.666667,0.555556,1,1,1,0
4,0.1,clean,clean,spk2,0.818182,0.545455,0.545455,0.727273,0.818182,1,1,1,0
4,0.1,white,10.0,spk1,0.444444,0.444444,0.444444,0.222222,0.444444,0,0,1,0
4,0.1,white,10.0,spk2,0.818182,0.818182,0.636364,0.818182,0.818182,0,1,0,0
4,0.1,white,5.0,spk1,0.777778,0.777778,0.777778,0.888889,0.777778,0,1,1,0
4,0.1,white,5.0,spk2,0.727273,0.727273,0.818182,0.545455,0.727273,0,1,1,0
4,0.1,white,0.0,spk1,1.222222,1.222222,1.222222,1.222222,1.222222,0,0,1,0
4,0.1,white,0.0,spk2,20.363636,20.363636,20.454545,1.090909,20.363636,0,1,1,0
4,0.1,pink,10.0,spk1,0.444444,0.444444,0.444444,0.666667,0.444444,0,0,1,0
4,0.1,pink,10.0,spk2,0.818182,0.818182,0.818182,0.545455,0.818182,0,0,1,0
4,0.1,pink,5.0,spk1,1.0,1.0,1.0,0.666667,1.0,0,0,1,0
4,0.1,pink,5.0,spk2,0.818182,0.818182,0.818182,0.818182,0.818182,0,0,1,0
4,0.1,pink,0.0,spk1,1.0,1.0,1.0,1.0,1.0,0,1,1,0
4,0.1,pink,0.0,spk2,1.181818,1.181818,1.181818,1.0,1.181818,0,0,1,0
4,0.1,babble,10.0,spk1,0.666667,0.666667,0.777778,0.666667,0.666667,0,1,0,0
4,0.1,babble,10.0,spk2,1.272727,1.272727,0.545455,0.545455,1.272727,0,1,1,0
4,0.1,babble,5.0,spk1,0.888889,0.888889,0.888889,0.888889,0.888889,0,0,1,0
4,0.1,babble,5.0,spk2,2.636364,2.636364,0.909091,1.0,0.636364,0,1,1,1
4,0.1,babble,0.0,spk1,1.0,1.0,24.777778,1.777778,1.0,0,1,1,0
