window_id,overlap_label,overlap_level,num_speakers,router_v2_method,router_v2_rule,is_mode_s,max_cr_separated,char_sep_error_rate,char_sep_errors,char_sep_length,char_sep_substitutions,char_sep_insertions,char_sep_deletions,char_sep_empty,char_mix_error_rate,char_mix_errors,char_mix_length,char_mix_substitutions,char_mix_insertions,char_mix_deletions,char_mix_empty,char_router_error_rate,char_oracle_error_rate,char_oracle_method,char_routing_regret,char_failure_window,char_primary_failure_mode,utter_sep_error_rate,utter_sep_errors,utter_sep_length,utter_sep_substitutions,utter_sep_insertions,utter_sep_deletions,utter_sep_empty,utter_mix_error_rate,utter_mix_errors,utter_mix_length,utter_router_error_rate,utter_oracle_error_rate,utter_oracle_method,utter_routing_regret,utter_failure_window,utter_primary_failure_mode
46,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,1.2375,0.822485,139,169,36,0,103,False,0.840237,142,169,40,0,102,False,0.822485,0.822485,separated,0.0,False,none,1.0,2,2,1,0,1,False,1.0,2,2,1.0,1.0,separated,0.0,False,none
47,LightOverlap,1,4,mixed,"overlap in [1,2]; choose mixed",False,1.1212,0.988304,169,171,106,3,60,False,1.0,0,0,0,0,0,True,1.0,0.988304,separated,0.011696,True,wrong_route_nonhalluc,2.0,8,4,3,4,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
48,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,1.0609,0.99005,199,201,122,8,69,False,0.900498,181,201,91,2,88,False,0.900498,0.900498,mixed,0.0,False,none,2.0,6,3,2,3,1,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
49,LightOverlap,1,4,mixed,"overlap in [1,2]; choose mixed",False,1.2671,0.930233,200,215,74,17,109,False,1.0,0,0,0,0,0,True,1.0,0.930233,separated,0.069767,True,wrong_route_nonhalluc,2.0,8,4,4,4,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
50,MidOverlap,2,2,mixed,"overlap in [1,2]; choose mixed",False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
51,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,1.2674,1.036145,258,249,115,20,123,False,0.963855,240,249,36,0,204,False,0.963855,0.963855,mixed,0.0,False,none,2.0,6,3,3,3,0,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
52,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,1.4049,0.752874,131,174,61,2,68,False,0.747126,130,174,51,0,79,False,0.747126,0.747126,mixed,0.0,False,none,1.0,3,3,3,0,0,False,1.0,3,3,1.0,1.0,separated,0.0,False,none
53,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.0777,0.959184,188,196,77,0,111,False,1.0,0,0,0,0,0,True,1.0,0.959184,separated,0.040816,True,wrong_route_nonhalluc,3.0,6,2,1,4,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
54,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
55,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,1.0679,0.941748,194,206,76,1,117,False,1.0,0,0,0,0,0,True,1.0,0.941748,separated,0.058252,True,wrong_route_nonhalluc,1.333333,4,3,3,1,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
56,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.0949,0.863436,196,227,17,1,178,False,0.9163,208,227,91,2,115,False,0.9163,0.863436,separated,0.052863,True,wrong_route_nonhalluc,1.0,2,2,1,0,1,False,1.0,2,2,1.0,1.0,separated,0.0,False,none
57,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,0.9573,0.983696,181,184,69,1,111,False,1.0,0,0,0,0,0,True,1.0,0.983696,separated,0.016304,True,wrong_route_nonhalluc,2.0,4,2,2,2,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
58,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.2656,0.819355,127,155,53,0,74,False,0.793548,123,155,52,0,71,False,0.819355,0.793548,mixed,0.025806,True,wrong_route_nonhalluc,1.0,1,1,1,0,0,False,2.0,2,1,1.0,1.0,separated,0.0,False,none
59,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,1.3081,0.783439,123,157,46,2,75,False,1.0,0,0,0,0,0,True,1.0,0.783439,separated,0.216561,True,wrong_route_nonhalluc,1.0,2,2,1,0,1,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
60,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
61,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.2857,0.771277,145,188,46,2,97,False,0.771277,145,188,50,2,93,False,0.771277,0.771277,separated,0.0,False,none,1.0,4,4,1,0,3,False,1.0,4,4,1.0,1.0,separated,0.0,False,none
62,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.0,1.0,0,0,0,0,0,True,0.775641,121,156,60,4,57,False,1.0,0.775641,mixed,0.224359,True,wrong_route_nonhalluc,1.0,0,0,0,0,0,True,1.0,2,2,1.0,1.0,separated,0.0,False,none
63,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.9225,0.985437,203,206,60,0,143,False,1.0,0,0,0,0,0,True,1.0,0.985437,separated,0.014563,True,wrong_route_nonhalluc,3.0,6,2,1,4,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
64,NoOverlap,0,2,mixed,overlap==0 short; choose mixed,False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
65,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,1.9744,1.13198,223,197,91,42,90,False,1.0,0,0,0,0,0,True,1.0,1.0,mixed,0.0,False,none,2.666667,8,3,3,5,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
66,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,0.6562,1.0,248,248,7,0,241,False,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,3,3,1,0,2,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
67,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.4286,1.0,226,226,2,0,224,False,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,2,2,1,0,1,False,1.0,0,0,1.0,1.0,separated,0.0,False,none
68,MidOverlap,2,4,mixed,"overlap in [1,2]; choose mixed",False,1.1157,0.968966,281,290,127,0,154,False,0.931034,270,290,60,1,209,False,0.931034,0.931034,mixed,0.0,False,none,3.0,12,4,4,8,0,False,1.0,4,4,1.0,1.0,mixed,0.0,False,none
69,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,1.4085,0.866337,175,202,99,1,75,False,0.856436,173,202,82,2,89,False,0.856436,0.856436,mixed,0.0,False,none,1.5,3,2,2,1,0,False,1.0,2,2,1.0,1.0,mixed,0.0,False,none
70,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,0.9262,0.973262,182,187,85,0,97,False,0.989305,185,187,35,0,150,False,0.989305,0.973262,separated,0.016043,True,wrong_route_nonhalluc,1.666667,5,3,2,2,1,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
71,LightOverlap,1,2,mixed,"overlap in [1,2]; choose mixed",False,0.0,1.0,0,0,0,0,0,True,1.0,0,0,0,0,0,True,1.0,1.0,separated,0.0,False,none,1.0,0,0,0,0,0,True,1.0,0,0,1.0,1.0,separated,0.0,False,none
72,MidOverlap,2,4,mixed,"overlap in [1,2]; choose mixed",False,1.0663,0.955285,235,246,102,0,133,False,1.0,0,0,0,0,0,True,1.0,0.955285,separated,0.044715,True,wrong_route_nonhalluc,1.75,7,4,3,3,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
73,LightOverlap,1,3,mixed,"overlap in [1,2]; choose mixed",False,0.9276,0.967391,178,184,101,1,76,False,1.0,0,0,0,0,0,True,1.0,0.967391,separated,0.032609,True,wrong_route_nonhalluc,4.333333,13,3,3,10,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
74,MidOverlap,2,4,mixed,"overlap in [1,2]; choose mixed",False,1.028,0.987342,234,237,87,5,142,False,1.0,0,0,0,0,0,True,1.0,0.987342,separated,0.012658,True,wrong_route_nonhalluc,1.5,6,4,3,2,1,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
75,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.0,1.0,0,0,0,0,0,True,0.766667,138,180,87,21,30,False,1.0,0.766667,mixed,0.233333,True,wrong_route_nonhalluc,1.0,0,0,0,0,0,True,1.0,2,2,1.0,1.0,separated,0.0,False,none
76,NoOverlap,0,1,mixed,overlap==0 short; choose mixed,False,1.0215,0.898551,124,138,56,1,67,False,1.0,0,0,0,0,0,True,1.0,0.898551,separated,0.101449,True,wrong_route_nonhalluc,3.0,3,1,1,2,0,False,1.0,0,0,1.0,1.0,mixed,0.0,False,none
