pair_id,overlap_ratio,noise_type,snr_db,cer_mixed,cer_speaker_gate,max_compression_ratio,repetition_count,mean_logprob,max_no_speech_prob
4,0.1,babble,10.0,0.75,0.8,0.75,0,-0.999,0.3544
4,0.1,babble,5.0,0.75,0.85,0.7692,0,-1.4127,0.461
4,0.1,babble,0.0,0.95,1.0,0.0,0,0.0,0.0
4,0.3,white,10.0,0.7,0.55,0.7857,0,-1.0197,0.2272
4,0.3,white,5.0,0.85,0.7,0.8438,0,-1.6398,0.3163
4,0.3,white,0.0,1.15,0.85,0.7556,0,-1.5647,0.4763
4,0.3,pink,10.0,0.75,0.6,0.7857,0,-1.3144,0.2097
4,0.3,pink,5.0,0.7,0.9,0.78,0,-1.1368,0.3186
4,0.3,pink,0.0,0.85,0.9,1.6364,0,-1.4524,0.3975
4,0.3,babble,10.0,0.8,0.65,0.75,0,-0.9808,0.2086
4,0.3,babble,5.0,1.0,0.9,0.75,0,-1.3185,0.3715
4,0.3,babble,0.0,1.2,2.1,1.95,2,-1.1405,0.6053
4,0.6,white,10.0,0.7,0.45,0.7692,0,-0.9499,0.2355
4,0.6,white,5.0,0.7,0.8,0.766,0,-1.1724,0.2479
4,0.6,white,0.0,0.95,1.2,1.5882,1,-1.3737,0.4518
4,0.6,pink,10.0,0.75,0.75,0.75,0,-0.9183,0.1102
4,0.6,pink,5.0,0.75,0.75,0.7692,0,-0.9696,0.3253
4,0.6,pink,0.0,0.85,0.85,0.78,0,-1.5298,0.4825
4,0.6,babble,10.0,0.7,0.65,0.7317,0,-0.808,0.1967
4,0.6,babble,5.0,0.85,0.7,0.75,0,-1.1813,0.2389
4,0.6,babble,0.0,1.0,1.0,0.0,0,0.0,0.0
4,0.8,white,10.0,0.75,0.75,0.7692,0,-1.2536,0.1408
4,0.8,white,5.0,0.85,0.75,0.766,0,-1.0545,0.3783
4,0.8,white,0.0,0.9,1.05,0.8571,0,-1.6169,0.3407
4,0.8,pink,10.0,11.05,0.55,0.75,0,-0.9335,0.1227
4,0.8,pink,5.0,0.8,0.4,0.75,0,-1.1248,0.2845
4,0.8,pink,0.0,0.8,1.1,0.78,0,-1.4331,0.2681
4,0.8,babble,10.0,0.7,0.85,0.75,0,-1.4352,0.3054
4,0.8,babble,5.0,0.95,13.05,22.35,221,-0.1246,0.3728
4,0.8,babble,0.0,1.0,0.95,0.766,0,-0.8369,0.5479
5,0.0,white,10.0,0.647059,0.764706,0.7708,0,-1.2321,0.2064
5,0.0,white,5.0,0.941176,0.764706,0.7941,0,-0.9503,0.3159
5,0.0,white,0.0,1.0,0.941176,0.7179,0,-1.408,0.4309
5,0.0,pink,10.0,0.588235,0.647059,0.7381,0,-1.4338,0.1283
5,0.0,pink,5.0,0.882353,0.823529,0.7241,0,-1.3312,0.2216
5,0.0,pink,0.0,0.941176,1.0,0.8077,0,-1.2214,0.3932
5,0.0,babble,10.0,0.647059,1.294118,0.96,0,-1.0631,0.1807
5,0.0,babble,5.0,1.117647,0.882353,0.8077,0,-1.5371,0.5517
5,0.0,babble,0.0,0.941176,0.882353,0.6857,0,-0.7355,0.5196
5,0.1,white,10.0,0.705882,0.764706,0.7273,0,-1.3551,0.2423
5,0.1,white,5.0,0.823529,0.941176,0.75,0,-1.286,0.4065
5,0.1,white,0.0,0.941176,0.941176,0.7333,0,-1.4075,0.324
5,0.1,pink,10.0,0.705882,0.470588,0.7273,0,-1.2163,0.1656
5,0.1,pink,5.0,0.882353,0.882353,0.7381,0,-1.1758,0.3098
5,0.1,pink,0.0,0.941176,0.941176,0.8571,0,-1.2751,0.3735
5,0.1,babble,10.0,0.705882,10.117647,15.0,23,-1.2163,0.2653
5,0.1,babble,5.0,0.941176,0.941176,0.8333,0,-1.5639,0.5963
5,0.1,babble,0.0,1.588235,1.0,0.0,0,0.0,0.0
5,0.3,white,10.0,0.882353,0.647059,0.7381,0,-1.1615,0.2131
5,0.3,white,5.0,0.941176,0.941176,0.8182,0,-1.2469,0.2509
5,0.3,white,0.0,0.941176,0.882353,0.8571,0,-1.1814,0.4765
5,0.3,pink,10.0,0.647059,0.647059,0.8571,0,-1.2268,0.163
5,0.3,pink,5.0,0.882353,0.764706,0.9565,0,-1.1754,0.2437
5,0.3,pink,0.0,0.941176,0.882353,0.7381,0,-1.3687,0.4299
5,0.3,babble,10.0,0.941176,0.882353,0.7241,0,-1.2516,0.2544
5,0.3,babble,5.0,0.823529,13.764706,18.1622,151,-0.7674,0.7703
5,0.3,babble,0.0,0.941176,13.117647,33.45,269,-0.0342,0.714
5,0.6,white,10.0,0.941176,0.705882,0.7273,0,-1.2381,0.141
5,0.6,white,5.0,1.0,0.647059,0.8077,0,-0.9582,0.2681
5,0.6,white,0.0,1.0,1.0,0.8444,0,-1.5127,0.562
5,0.6,pink,10.0,0.705882,0.529412,0.7273,0,-1.1397,0.1667
5,0.6,pink,5.0,0.941176,0.764706,0.7381,0,-1.3556,0.3583
5,0.6,pink,0.0,1.0,0.823529,0.7241,0,-1.297,0.3246
5,0.6,babble,10.0,0.941176,0.764706,0.7714,0,-1.4414,0.2781
5,0.6,babble,5.0,1.0,0.764706,0.7105,0,-1.1927,0.3813
5,0.6,babble,0.0,1.0,9.823529,15.1818,38,-0.0781,0.3469
5,0.8,white,10.0,0.941176,0.764706,0.8276,0,-1.2462,0.1486
5,0.8,white,5.0,0.941176,0.941176,0.7241,0,-1.1766,0.188
5,0.8,white,0.0,0.941176,0.882353,0.6923,0,-1.4963,0.3374
5,0.8,pink,10.0,8.647059,0.647059,0.7273,0,-1.261,0.1579
5,0.8,pink,5.0,6.529412,0.882353,0.75,0,-1.2859,0.191
5,0.8,pink,0.0,0.941176,0.941176,0.8077,0,-1.4905,0.3865
5,0.8,babble,10.0,17.411765,0.941176,0.8684,0,-1.3808,0.1707
5,0.8,babble,5.0,1.0,1.0,0.7105,0,-1.7202,0.4757
5,0.8,babble,0.0,0.941176,0.941176,0.7241,0,-1.0443,0.3009
